perm_network_tf_idf,perm_os_tf_idf,perm_personal_tf_idf,perm_system_tf_idf,perm_device_tf_idf,api_network_tf_idf,api_os_tf_idf,api_personal_tf_idf,api_system_tf_idf,api_device_tf_idf
0,0,0.013447171,0.009741158,0.010205618,0.019503881,0.00935518,0.025136788,0.020950542,0.014588289
0,0,0.014707844,0.010654392,0.005581197,0.021332369,0.011255451,0.013746681,0.019095546,0.007977971
0,0,0.024771105,0.026916359,0.018799823,0.015968089,0.008616614,0,0.012864368,0.013436582
0,0,0,0.014205856,0.007441596,0.015801755,0.015007269,0,0.020368582,0.010637294
0,0,0.078441833,0,0.029766386,0,0.010914377,0,0.020368582,0
0,0,0.069213382,0.030082989,0.010505783,0.008923344,0.007704266,0,0.007188911,0.015017357
0,0,0,0,0,0.022984371,0.010914377,0.013330115,0.037033786,0.007736214
0,0,0.078441833,0.028411712,0,0,0.010914377,0,0.020368582,0
0,0,0,0,0,0,0.032743131,0,0,0
0,0,0,0.085235136,0.017859832,0.007584842,0.006548626,0,0,0.025529506
0,0,0.027152942,0.039339294,0.006869166,0.011668988,0.006296756,0,0.028202652,0.009819041
0,0,0,0,0,0.025282808,0.021828754,0,0,0
0,0,0.006921338,0.010027663,0.010505783,0.02230836,0.011556399,0.012938053,0.017972278,0.007508678
0,0,0,0,0,0.025282808,0.021828754,0,0,0
0,0,0.069213382,0.030082989,0.010505783,0.008923344,0.007704266,0,0.007188911,0.015017357
0,0,0.010458911,0.011364685,0,0.026968329,0.008731502,0.029326253,0.021726488,0.005673224
0,0,0,0.011756571,0.006158563,0.023539166,0.012419808,0.030337503,0.012642568,0.008803278
0,0,0.0470651,0,0,0,0.019645879,0,0.024442299,0
0,0,0,0.085235136,0.017859832,0.007584842,0.006548626,0,0,0.025529506
0,0,0.019610458,0.014205856,0.004961064,0.023175907,0.00636672,0.024438544,0.027158109,0.007091529
0,0,0.012067974,0.008742065,0.009158888,0.019448314,0.010914377,0.011279328,0.021935396,0.013092054
0,0,0,0.012627428,0.006614752,0.019664406,0.012127086,0.016292363,0.022631758,0.009455373
0,0,0.067235857,0.024352896,0,0.010835489,0.00935518,0,0.017458785,0
